Unnamed: 0,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country Code
78,caiaponia,-16.9567,-51.8103,296.05,86.0,100.0,3.15,BR
79,saint-philippe,-21.3585,55.7679,302.15,65.0,75.0,2.06,RE
80,cherskiy,68.75,161.3,249.19,90.0,95.0,1.41,RU
81,upernavik,72.7868,-56.1549,253.2,91.0,98.0,2.93,GL
82,kortkeros,61.8106,51.5806,252.15,71.0,40.0,3.0,RU
83,iskateley,67.6803,53.1512,246.71,88.0,100.0,3.95,RU
84,cabo san lucas,22.8909,-109.9124,288.15,71.0,1.0,0.45,MX
85,khalilabad,26.775,83.0736,297.15,53.0,1.0,2.06,IN
86,dikson,73.5069,80.5464,241.27,84.0,100.0,3.84,RU
87,kahului,20.8947,-156.47,296.15,88.0,90.0,5.14,US
88,angoche,-16.2325,39.9086,304.31,66.0,100.0,6.61,MZ
89,talnakh,69.4865,88.3972,240.99,77.0,17.0,3.42,RU
90,ushuaia,-54.8,-68.3,285.15,58.0,75.0,7.2,AR
91,karlshus,59.352,10.8723,269.15,80.0,20.0,2.57,NO
92,yenagoa,4.9247,6.2642,305.95,61.0,73.0,1.37,NG
93,kununurra,-15.7667,128.7333,302.15,72.0,40.0,2.57,AU
94,laguna,38.421,-121.4238,283.15,87.0,90.0,4.63,US
95,narsaq,60.9167,-46.05,269.15,86.0,90.0,3.6,GL
96,lamesa,32.7376,-101.95100000000001,257.04,81.0,81.0,1.34,US
97,north bend,43.4065,-124.2243,284.26,100.0,90.0,7.2,US
98,husavik,66.0449,-17.3389,278.15,70.0,20.0,5.66,IS
99,sorvag,,,,,,,
100,yar-sale,66.8333,70.8333,248.5,89.0,100.0,6.82,RU
101,high level,58.5169,-117.13600000000001,252.15,77.0,75.0,2.06,CA
102,nuevo imperial,-13.0754,-76.3172,295.01,70.0,5.0,1.43,PE
103,cidreira,-30.1811,-50.2056,294.73,83.0,72.0,2.8,BR
104,misratah,32.3754,15.0925,284.22,59.0,36.0,11.36,LY
105,norman wells,65.282,-126.8329,251.15,77.0,75.0,2.06,CA
106,touros,-5.1989,-35.4608,303.15,66.0,40.0,6.17,BR
107,bredasdorp,-34.5322,20.0403,296.15,35.0,22.0,6.69,ZA
108,barrow,71.2906,-156.7887,247.15,76.0,1.0,4.63,US
109,ningbo,29.8782,121.5495,283.15,76.0,75.0,4.0,CN
110,hakkari,37.5833,44.1667,275.15,69.0,20.0,1.54,TR
111,cheyenne,41.14,-104.8203,252.15,77.0,90.0,3.6,US
112,tura,25.5198,90.2201,291.98,29.0,0.0,0.76,IN
113,east london,-33.0153,27.9116,295.15,53.0,20.0,13.89,ZA
114,pisco,-13.7,-76.2167,293.15,83.0,0.0,1.54,PE
115,ostrovnoy,68.0531,39.5131,268.15,94.0,100.0,5.0,RU
116,lebu,-37.6167,-73.65,287.38,73.0,0.0,4.48,CL
117,calatagan,13.8833,120.65,298.69,81.0,72.0,4.39,PH
118,verkhnevilyuysk,63.4453,120.3167,247.36,89.0,100.0,2.46,RU
119,saskylakh,71.9167,114.0833,243.1,86.0,100.0,5.34,RU
120,popondetta,-8.7537,148.2534,297.57,89.0,100.0,1.3,PG
